UF,total_clientes,renda_media,score_medio,media_imoveis,media_carros,percentual_com_filhos
MG,1620,8610.0,48.955555555555556,0.7,0.9555555555555556,78.88888888888889
PR,1890,8905.714285714286,50.59047619047619,0.9142857142857143,1.0,60.0
RJ,2916,9789.883401920439,52.82098765432099,0.9074074074074074,0.9444444444444444,70.37037037037037
SC,1620,8897.777777777777,47.7,0.9,0.9555555555555556,68.88888888888889
SP,2430,8142.222222222223,51.592592592592595,0.7851851851851852,0.8518518518518519,64.48559670781893
