FAIXA_ETARIA,media_qt_imoveis,media_valor_imoveis,media_qt_carros,media_valor_carros,renda_media,score_medio
21 a 30,0.751503006012024,216392.78557114227,1.0180360721442885,41090.180360721446,8206.012024048096,45.79759519038076
31 a 45,0.7570093457943925,200128.5046728972,0.866822429906542,38511.68224299065,9066.783489096573,49.10280373831776
46 a 55,1.0067567567567568,275304.0540540541,0.972972972972973,41175.67567567567,9590.54054054054,54.891891891891895
Até 20,0.5161290322580645,132580.64516129033,0.5806451612903226,21419.354838709678,5741.935483870968,37.32258064516129
Maior que 55,1.0106382978723405,312553.1914893617,0.9574468085106383,50776.59574468085,10001.063829787234,59.88297872340426
